Order Number,Customer,Date,Amount
1001,John Smith,2026-07-01,125.50
1002,Emily Johnson,2026-07-02,89.99
1003,Michael Brown,2026-07-03,234.75
1004,Sarah Davis,2026-07-04,560.20
1005,David Wilson,2026-07-05,178.00
1006,Jessica Miller,2026-07-06,320.50
1007,Daniel Anderson,2026-07-07,95.25
1008,Olivia Taylor,2026-07-08,145.00
1009,James Thomas,2026-07-09,780.99
1010,Ava Moore,2026-07-10,450.50
1011,Robert Jackson,2026-07-11,1200.00
1012,Emma White,2026-07-12,67.80
1013,William Harris,2026-07-13,345.25
1014,Sophia Martin,2026-07-14,920.40
1015,Joseph Thompson,2026-07-15,156.75
1016,Isabella Garcia,2026-07-16,430.00
1017,Thomas Martinez,2026-07-17,2150.99
1018,Mia Robinson,2026-07-18,88.50
1019,Charles Clark,2026-07-19,675.30
1020,Charlotte Rodriguez,2026-07-20,340.00
1021,Christopher Lewis,2026-07-21,125.99
1022,Amelia Lee,2026-07-22,890.75
1023,Matthew Walker,2026-07-23,1540.20
1024,Harper Hall,2026-07-24,230.50
1025,Anthony Allen,2026-07-25,76.25
1026,Evelyn Young,2026-07-26,450.80
1027,Mark Hernandez,2026-07-27,1120.00
1028,Abigail King,2026-07-28,299.99
1029,Steven Wright,2026-07-29,540.45
1030,Ella Lopez,2026-07-30,1800.00
